concurrency,express 0ms,express 10ms,go iris 0ms,go iris 10ms,php lumen 0ms,vertx kt.co 0ms,vertx kt.co 10ms,spring-boot 0ms,spring-boot 10ms,koajs 0ms,koajs 10ms
0,0,0,0,0,0,0,0,0,0,0,0
50,14785,16486,27524,4312,1054,29175,4679,5501,3461,20460,4241
125,14285,15628,25849,9278,1063,28815,11625,6842,6146,18542,8467
250,13202,14328,23678,13741,1009,27408,17734,9141,7255,17300,13205
500,12345,13910,23081,17855,1023,23549,16927,10259,7610,17506,15195
1000,11095,11153,21473,18171,984,19217,15443,10538,7689,15603,12657
2000,8439,9938,21817,17990,944,20974,16280,9540,7623,13562,8522
4000,8197,10069,22695,17864,886,21178,16815,10400,7551,12720,7393
